1745356180.936962605 0.041274548  450824 
1745356180.936963558 0.041274548  450825 
1745356180.936964273 0.041274309  450826 
1745356180.936964989 0.041273832  450827 
1745356180.936965942 0.041273832  450828 
1745356180.936967611 0.041274548  450829 
1745356180.936969042 0.041274786  450830 
1745356180.936969995 0.041274786  450831 
1745356180.936970711 0.041274309  450832 
1745356180.936971426 0.041274309  450833 
1745356180.936972380 0.041274309  450834 
1745356180.936974525 0.041275024  450835 
1745356180.936975479 0.041274786  450836 
1745356180.936976194 0.041274548  450837 
1745356180.936976910 0.041274309  450838 
1745356180.936977863 0.041274071  450839 
1745356180.936978579 0.041273832  450840 
1745356180.936979771 0.041273832  450841 
1745356180.936981678 0.041274786  450842 
1745356180.937402487 0.041694403  450843 
1745356180.937405586 0.041696310  450844 
1745356180.937574148 0.041863680  450845 
1745356180.937576771 0.041321039  450846 
1745356180.937577724 0.041131258  450847 
1745356180.937578917 0.040960312  450848 
1745356180.938333988 0.041311979  450849 
1745356180.938336372 0.041162729  450850 
1745356180.938337803 0.040971279  450851 
1745356180.939100981 0.041584730  450852 
1745356180.939103127 0.041430473  450853 
1745356180.939104080 0.041260004  450854 
1745356180.939104795 0.041106224  450855 
1745356180.939106464 0.040938616  450856 
1745356180.939768314 0.041446447  450857 
1745356180.939771175 0.041295052  450858 
1745356180.939772129 0.041126728  450859 
1745356180.940077305 0.041278362  450860 
1745356180.940079927 0.041126966  450861 
1745356180.940081358 0.040959835  450862 
1745356180.940647125 0.041287184  450863 
1745356180.940649271 0.041031122  450864 
1745356180.940650940 0.040878296  450865 
1745356180.941611052 0.041670561  450866 
1745356180.941614389 0.041519880  450867 
1745356180.941615105 0.041366816  450868 
1745356180.941616535 0.041170359  450869 
1745356180.942664623 0.042057753  450870 
1745356180.942667484 0.041854858  450871 
1745356180.942667961 0.041670322  450872 
1745356180.942668676 0.041510344  450873 
1745356180.942986488 0.041668892  450874 
1745356180.942989111 0.041514874  450875 
1745356180.943401575 0.041750669  450876 
1745356180.943403244 0.041597128  450877 
1745356180.943404436 0.041446209  450878 
1745356180.943404913 0.041293144  450879 
1745356180.943405867 0.041120768  450880 
1745356180.944619656 0.042178392  450881 
1745356180.944621086 0.042000532  450882 
1745356180.944621563 0.041843176  450883 
1745356180.944622278 0.041686296  450884 
1745356180.944622993 0.041429281  450885 
1745356180.944623709 0.041274309  450886 
1745356180.945356846 0.041718721  450887 
1745356180.945358038 0.041560650  450888 
1745356180.945358753 0.041387081  450889 
1745356180.945358992 0.041232586  450890 
1745356180.945359945 0.041033506  450891 
1745356180.946447134 0.041965008  450892 
1745356180.946449995 0.041794062  450893 
1745356180.946451902 0.041641235  450894 
1745356180.946452379 0.041458845  450895 
1745356180.946453571 0.041305304  450896 
1745356180.947566748 0.042222738  450897 
1745356180.947570324 0.042005062  450898 
1745356180.947571278 0.041845322  450899 
1745356180.947571993 0.041691542  450900 
1745356180.947572947 0.041520357  450901 
1745356180.947573662 0.041360140  450902 
1745356180.947574615 0.041188240  450903 
1745356180.947575331 0.041037083  450904 
1745356180.947577477 0.040886402  450905 
1745356180.948185444 0.041338205  450906 
1745356180.948187828 0.041146517  450907 
1745356180.948189497 0.040910721  450908 
